Product_Category,Optimal_Replenishment_Quantity_for_July_1
七彩椒(2),15.579507392694373
上海青,11.878430972829161
云南油麦菜,5.182709885709239
云南油麦菜(份),10.081043859161737
云南生菜,14.120608482165807
云南生菜(份),2.475636829079238
净藕(1),8.530991269328753
双孢菇(盒),5.466189981373965
圆茄子(2),1.2049537516036481
外地茼蒿,5.980597897839782
奶白菜,2.2823889658485688
姜蒜小米椒组合装(小份),7.145543265537958
娃娃菜,3.6292853615291905
小皱皮(份),4.11168197654136
小米椒(份),4.418958423687886
小青菜(1),2.6334413186476695
木耳菜,13.639271794069762
木耳菜(份),2.23104921240878
枝江青梗散花,15.300276453297531
洪湖藕带,16.448909053320694
海鲜菇(包),3.4888877748741995
白玉菇(袋),9.905983017203084
竹叶菜,0.10382938677331145
紫茄子(1),7.015757660023537
紫茄子(2),8.141351735671012
红椒(2),0.8943509941646423
红莲藕带,3.4430043648556574
红薯尖,0.16920957124875513
芜湖青椒(1),0.09150546099655957
苋菜,6.987311546136134
菜心,8.328807361756281
菠菜,11.156972044449649
菠菜(份),3.042055621102158
菱角,6.211023799271709
虫草花(份),7.9384769698003135
螺丝椒,17.71610563525326
螺丝椒(份),7.288048360625736
蟹味菇与白玉菇双拼(盒),6.897558829471108
西兰花,5.254440326551503
西峡花菇(1),12.720551251296698
野生粉藕,14.994126871950174
金针菇(盒),2.344643119290309
长线茄,2.906865024720918
青红杭椒组合装(份),7.9048264963245645
青线椒(份),3.915148304134646
青茄子(1),10.430583609409947
高瓜(1),2.6397658423758013
高瓜(2),8.268916275816933
鲜木耳(份),4.7008194568765065
