单品类,日期,预测销售单价(元/千克)
七彩椒(2),2023/7/1 00:00,21.869183527235286
七彩椒(2),2023/7/2 00:00,29.35858728954359
七彩椒(2),2023/7/3 00:00,30.886393391175666
七彩椒(2),2023/7/4 00:00,38.100158283417855
七彩椒(2),2023/7/5 00:00,47.47175241198576
七彩椒(2),2023/7/6 00:00,38.44667100749936
七彩椒(2),2023/7/7 00:00,17.02588442791557
上海青,2023/7/1 00:00,9.324255501035648
上海青,2023/7/2 00:00,8.551396032336232
上海青,2023/7/3 00:00,8.559033799521565
上海青,2023/7/4 00:00,8.642223533999626
上海青,2023/7/5 00:00,9.412193036324172
上海青,2023/7/6 00:00,9.233427999372255
上海青,2023/7/7 00:00,9.718323002157835
云南油麦菜,2023/7/1 00:00,12.083975074366805
云南油麦菜,2023/7/2 00:00,12.083975074366805
云南油麦菜,2023/7/3 00:00,12.083975074366805
云南油麦菜,2023/7/4 00:00,12.083975074366805
云南油麦菜,2023/7/5 00:00,18.322962602383644
云南油麦菜,2023/7/6 00:00,7.5344730226144385
云南油麦菜,2023/7/7 00:00,6.708898526212312
云南油麦菜(份),2023/7/1 00:00,13.525701886409584
云南油麦菜(份),2023/7/2 00:00,11.847371058314273
云南油麦菜(份),2023/7/3 00:00,10.64856332396048
云南油麦菜(份),2023/7/4 00:00,11.607609511443515
云南油麦菜(份),2023/7/5 00:00,12.32689415205579
云南油麦菜(份),2023/7/6 00:00,13.525701886409584
云南油麦菜(份),2023/7/7 00:00,13.285940339538824
云南生菜,2023/7/1 00:00,19.19483730260377
云南生菜,2023/7/2 00:00,19.19483730260377
云南生菜,2023/7/3 00:00,19.19483730260377
云南生菜,2023/7/4 00:00,20.251436974709026
云南生菜,2023/7/5 00:00,48.37935819648252
云南生菜,2023/7/6 00:00,19.090505777959397
云南生菜,2023/7/7 00:00,29.15570337592269
云南生菜(份),2023/7/1 00:00,-4.229176208201402
云南生菜(份),2023/7/2 00:00,-1.2748337424477079
云南生菜(份),2023/7/3 00:00,3.367704418022379
云南生菜(份),2023/7/4 00:00,0.6947279013880863
云南生菜(份),2023/7/5 00:00,-0.7121018442089095
云南生菜(份),2023/7/6 00:00,-0.9934677933283087
云南生菜(份),2023/7/7 00:00,-1.1341507678880074
净藕(1),2023/7/1 00:00,0.8332279380783909
净藕(1),2023/7/2 00:00,2.0836164731808973
净藕(1),2023/7/3 00:00,2.4777098250245864
净藕(1),2023/7/4 00:00,2.5499776032650523
净藕(1),2023/7/5 00:00,1.389013942754553
净藕(1),2023/7/6 00:00,0.9647656927175117
净藕(1),2023/7/7 00:00,1.4654410175843982
双孢菇(盒),2023/7/1 00:00,2.0136104848766387
双孢菇(盒),2023/7/2 00:00,2.9852076814829975
双孢菇(盒),2023/7/3 00:00,2.2565097840282284
双孢菇(盒),2023/7/4 00:00,2.499409083179818
双孢菇(盒),2023/7/5 00:00,1.7707111857250495
双孢菇(盒),2023/7/6 00:00,3.2281069806345872
双孢菇(盒),2023/7/7 00:00,2.742308382331408
圆茄子(2),2023/7/1 00:00,3.9576158928954706
圆茄子(2),2023/7/2 00:00,1.2511733963546012
圆茄子(2),2023/7/3 00:00,2.818224668745909
