单品类,2023/7/1 00:00,2023/7/2 00:00,2023/7/3 00:00,2023/7/4 00:00,2023/7/5 00:00,2023/7/6 00:00,2023/7/7 00:00,批发价格,单品损耗率
七彩椒(2),0.168,0.643500238,0.740500238,1.198500238,1.793500238,1.220500238,-0.139499762,9.14,9.43
上海青,9.599501282,5.855501282,5.892501282,6.295501282,10.02550128,9.159501282,11.50850128,7.03,14.43
云南油麦菜(份),38.0000065,31.0000065,26.0000065,30.0000065,33.0000065,38.0000065,37.0000065,2.64,9.43
云南生菜(份),65.0000145,44.0000145,11.0000145,30.0000145,40.0000145,42.0000145,43.0000145,2.38,9.43
净藕(1),10.26800191,7.863001914,7.105001914,6.966001914,9.199001914,10.01500191,9.052001914,9,5.54
双孢菇(盒),15.000003,11.000003,14.000003,13.000003,16.000003,10.000003,12.000003,3.6,0.2
圆茄子(2),1.376,1.809500217,1.558500217,1.495500217,3.151500217,2.764500217,2.318500217,5.54,6.71
外地茼蒿,0.996,0.996,0.996,0.996,2.83600092,1.01800092,0.15200092,11.69,26.16
奶白菜,9.044,12.34850165,13.37550165,12.58150165,14.22750165,12.07950165,14.78350165,4.68,15.68
姜蒜小米椒组合装(小份),12.50000175,14.50000175,13.50000175,13.50000175,10.50000175,8.50000175,14.50000175,2.29,9.43
娃娃菜,10.50000225,8.50000225,4.50000225,20.50000225,18.50000225,13.50000225,7.50000225,4.13,2.48
小皱皮(份),19.0000045,10.0000045,16.0000045,7.0000045,14.0000045,9.0000045,11.0000045,2.26,9.43
小米椒(份),33.000005,30.000005,33.000005,32.000005,31.000005,46.000005,36.000005,4.54,9.43
小青菜(1),7.694001492,6.512001492,7.170001492,4.729001492,4.302001492,9.534001492,6.433001492,5.02,10.33
木耳菜,6.569500692,8.348500692,13.85250069,8.834500692,13.26650069,8.280500692,8.985500692,4.2,7.61
枝江青梗散花,11.187,11.187,11.187,12.26750054,12.77450054,19.29350054,21.29350054,4.64,9.43
洪湖藕带,5.69900068,7.72000068,5.76300068,7.95900068,6.94700068,7.67900068,7.31800068,29.43,24.05
海鲜菇(包),12.50000325,10.50000325,3.50000325,10.50000325,5.50000325,10.50000325,5.50000325,2.67,0
竹叶菜,21.16850414,18.54050414,16.62150414,18.69450414,17.75050414,15.01450414,17.48350414,3.19,13.62
紫茄子(2),21.15150339,24.02650339,23.97350339,11.67350339,13.65350339,12.94750339,21.94350339,6.56,6.07
红椒(2),3.895000987,1.340000987,1.850000987,1.545000987,1.270000987,2.100000987,1.865000987,8.69,9.43
红莲藕带,1.152000215,0.869000215,0.639000215,0.508000215,1.327000215,1.120000215,1.011000215,5.3,16.63
红薯尖,7.885501003,6.961501003,7.364501003,10.930501,6.310501003,9.460501003,9.754501003,3.6,8.42
芜湖青椒(1),24.8890045,18.7860045,17.2370045,23.9980045,18.2450045,22.0010045,22.7990045,6.64,5.7
苋菜,13.9240036,9.352003599,7.305003599,10.5890036,3.337003599,8.396003599,6.254003599,3.88,18.52
菜心,2.701,2.701,2.701,4.757001028,1.887001028,1.467001028,3.346001028,4.6,13.7
菠菜,1.275,1.275,1.275,1.275,2.901000813,1.942000813,0.924000813,8.47,18.51
菠菜(份),11,11,12.0000005,25.0000005,21.0000005,20.0000005,21.0000005,1.33,9.43
菱角,3.396,4.281000442,3.994000442,3.780000442,3.414000442,5.914000442,5.907000442,8.18,9.61
虫草花(份),3.50000075,1.50000075,4.50000075,1.50000075,4.50000075,1.50000075,2.50000075,2.26,9.43
螺丝椒,13.12000232,9.152002325,10.26000232,8.144002325,10.15900232,11.51200232,12.29000232,7.1,10.18
螺丝椒(份),17.50000375,15.50000375,9.50000375,7.50000375,12.50000375,21.50000375,12.50000375,2.39,9.43
蟹味菇与白玉菇双拼(盒),2,2,2,3.0000005,4.0000005,2.0000005,3.0000005,10.22,7.97
西兰花,21.59350235,22.88750235,20.28950235,26.47850235,25.60750235,27.38650235,29.10650235,9.23,9.26
西峡花菇(1),9.662001545,7.753001545,7.064001545,7.190001545,7.224001545,7.796001545,10.05400154,14,10.8
金针菇(盒),22.0000045,15.0000045,13.0000045,16.0000045,30.0000045,28.0000045,17.0000045,2.58,0.45
长线茄,12.20450171,7.866501708,6.644501708,7.705501708,10.29050171,8.241501708,14.16250171,10.32,6.9
青红杭椒组合装(份),4.50000025,5.50000025,4.50000025,7.50000025,5.50000025,4.50000025,7.50000025,2.42,9.43
青线椒(份),1,1,1,1,1,1.50000025,1.50000025,2.78,9.43
青茄子(1),0.94,4.489001774,1.149001774,0.949001774,-1.685998226,-0.158998226,-1.668998226,1.63,5.01
高瓜(1),5.303000761,4.614000761,4.230000761,6.204000761,4.708000761,5.734000761,6.037000761,5.65,29.25
云南油麦菜,0.293,0.293,0.293,0.293,2.409001058,-1.249998942,-1.529998942,3.44,12.81
云南生菜,2.904,2.904,2.904,3.182500139,10.59650014,2.876500139,5.529500139,6.72,15.25
高瓜(2),0.512,0.512,1.556500522,0.252500522,-0.287499478,1.832500522,-0.020499478,9.68,9.43
白玉菇(袋),1,1,1,1.50000025,1.50000025,1.50000025,1.50000025,3.75,6.57
鲜木耳(份),4,4,4,4,4,4,6.000001,1.48,9.43
木耳菜(份),1,1,1,1,1.50000025,1.50000025,1.50000025,3.25,9.43
紫茄子(1),0.512,0.512,0.512,0.512,0.512,0.768000128,0.768000128,5.06,9.43
野生粉藕,0.231,0.231,0.231,0.231,0.95150036,0.27750036,-0.25849964,9.76,12.69
